TABLE NO.  1
 NUM             IPRED           NPDE            CWRES           DV              PRED            RES             WRES
    2.110000E+02    2.665157E+02    2.506891E-02   -1.011146E-01    2.751000E+02    3.264868E+02   -5.138682E+01   -1.346077E-01
    2.120000E+02    2.772877E+02    3.853205E-01    2.048927E-01    3.049300E+02    3.576465E+02   -5.271648E+01    8.451282E-02
    2.130000E+02    2.704841E+02   -2.474740E+00   -2.463645E+00    1.529700E+02    3.553944E+02   -2.024244E+02   -1.889171E+00
    2.140000E+02    2.494093E+02    1.004337E-01    4.214615E-01    2.830900E+02    3.294726E+02   -4.638262E+01    2.599826E-01
    2.150000E+02    2.312112E+02   -1.678940E-01    4.859734E-02    2.435600E+02    3.027963E+02   -5.923627E+01   -4.697551E-03
    2.160000E+02    2.073746E+02   -1.036433E+00   -1.123214E+00    1.679000E+02    2.667994E+02   -9.889940E+01   -8.882725E-01
    2.170000E+02    1.927503E+02   -3.853205E-01   -5.091810E-01    1.785800E+02    2.449253E+02   -6.634528E+01   -4.329764E-01
    2.180000E+02    1.641791E+02   -1.382994E+00   -1.516567E+00    1.172000E+02    2.033883E+02   -8.618827E+01   -1.249475E+00
    2.190000E+02    1.219671E+02    1.613358E+00    2.358440E+00    1.795700E+02    1.458544E+02    3.371565E+01    1.850512E+00
    2.200000E+02    7.753804E+01    1.095418E+00    1.422631E+00    9.844700E+01    9.174306E+01    6.703944E+00    1.094620E+00
    2.210000E+02    6.565146E+01   -5.729675E-01   -7.196106E-01    5.496700E+01    7.855446E+01   -2.358746E+01   -6.296633E-01
    2.220000E+02    3.217670E+01   -5.533847E-01   -6.194533E-01    2.697900E+01    4.201652E+01   -1.503752E+01   -4.492099E-01
    2.230000E+02    1.815767E+01   -1.475791E+00   -1.854704E+00    1.041600E+01    2.508593E+01   -1.466993E+01   -1.176451E+00
    2.240000E+02    1.045300E+01    9.674216E-01    1.495662E+00    1.282600E+01    1.516206E+01   -2.336058E+00    9.296017E-01
    2.250000E+02    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00
    2.260000E+02    3.524610E+02    1.790751E+00    1.602064E+00    4.335800E+02    2.516435E+02    1.819365E+02    2.035807E+00
